date,state,hospitalizedCurrently,death,positiveIncrease
2020-07-12,WA,326,1424,0
2020-07-12,WI,264,827,797
2020-07-12,WV,56,96,133
2020-07-12,WY,12,21,23
2020-07-11,AK,31,17,62
2020-07-11,AL,1068,1114,1439
2020-07-11,AR,402,313,0
2020-07-11,AS,,0,0
2020-07-11,AZ,3485,2151,3038
2020-07-11,CA,7904,6945,8047
2020-07-11,CO,328,1586,666
2020-07-11,CT,77,4348,0
2020-07-11,DC,92,568,58
2020-07-11,DE,65,517,91
2020-07-11,FL,7186,4301,10360
2020-07-11,GA,2446,2996,3190
2020-07-11,GU,3,5,2
2020-07-11,HI,,19,28
2020-07-11,IA,178,748,663
2020-07-11,ID,86,101,500
2020-07-11,IL,1398,7369,1195
2020-07-11,IN,714,2756,779
2020-07-11,KS,,284,0
2020-07-11,KY,370,622,451
2020-07-11,LA,1182,3403,2167
2020-07-11,MA,572,8310,288
2020-07-11,MD,390,3310,557
2020-07-11,ME,16,112,21
2020-07-11,MI,505,6313,685
2020-07-11,MN,241,1537,804
2020-07-11,MO,883,1069,1134
2020-07-11,MP,,2,0
2020-07-11,MS,963,1230,797
2020-07-11,MT,24,29,84
2020-07-11,NC,1093,1499,2462
2020-07-11,ND,31,78,89
2020-07-11,NE,95,286,154
2020-07-11,NH,20,390,18
2020-07-11,NJ,872,15525,331
2020-07-11,NM,151,539,298
2020-07-11,NV,918,592,930
2020-07-11,NY,799,24974,730
2020-07-11,OH,928,3036,1358
2020-07-11,OK,499,421,687
2020-07-11,OR,208,232,397
2020-07-11,PA,646,6897,813
2020-07-11,PR,174,167,229
2020-07-11,RI,61,976,0
2020-07-11,SC,1396,951,2280
2020-07-11,SD,65,109,53
2020-07-11,TN,1184,738,1460
2020-07-11,TX,10083,3112,10351
2020-07-11,UT,269,212,632
2020-07-11,VA,1020,1962,851
2020-07-11,VI,,6,14
2020-07-11,VT,18,56,6
2020-07-11,WA,326,1424,637
2020-07-11,WI,265,828,981
2020-07-11,WV,56,95,91
2020-07-11,WY,12,21,49
2020-07-10,AK,30,17,51
2020-07-10,AL,1183,1104,1334
2020-07-10,AR,402,313,751
2020-07-10,AS,,0,0
2020-07-10,AZ,3432,2082,4221
2020-07-10,CA,7896,6851,7798
2020-07-10,CO,318,1581,409
2020-07-10,CT,77,4348,78
2020-07-10,DC,96,568,64
2020-07-10,DE,58,517,121
2020-07-10,FL,6974,4203,11433
2020-07-10,GA,2443,2965,4484
2020-07-10,GU,3,5,1
2020-07-10,HI,,19,36
2020-07-10,IA,169,743,744
2020-07-10,ID,91,100,459
2020-07-10,IL,1436,7345,1327
2020-07-10,IN,667,2748,725
2020-07-10,KS,,284,993
2020-07-10,KY,409,620,425
2020-07-10,LA,1117,3380,2642
2020-07-10,MA,632,8296,213
2020-07-10,MD,385,3303,463
